totalValueLockedUSD,createdTimestamp
155384.24255289610991052537154575,
191579.44630312266528475341102874,
188241.79959360019948516097417868,
199008.12108836647388331894466285,
231228.1054412724461739638562564,
199642.4751879663619447226213918,
223398.6342239967880027385330303,
218859.122371206622883888328786,
176901.47353927031936160584798949,
140741.74113173826314950308574644,
172793.13396468631663934394383577,
208402.20166197560001705862471465,
208350.3935389028018241139076324,
224040.145321520495126389364707,
243007.7009041652636689903346232,
223823.25333479481012083947200174,
233760.22562121397445007042665265,
225097.6190683270910482797023592,
165350.91782211305996315264798709,
164053.0358126880566232081429122,
162301.4100545103164447174606448,
179105.0542512484767045383609702,
177078.3016105901756350371587382,
147988.05438751462807145583609843,
147648.8611429248678043841590832,
151233.4810536245818333537398876,
148296.7720105204889690171451536,
176227.9295828125694333884721382,
167981.0079757646500846640250966,
153068.7685486486797056563733789,
145975.0620201680523733422060402,
146304.25073022176695608232187175,
133030.04169042518410390089864951,
127437.88181317455041504396424841,
127981.1977668744106890602040567,
119803.8182088511533917288929448,
119803.8182088511533917288929448,
110283.56198657208663734277251844,
108573.17124414858841964918074,
108944.019413908796893707827213,
112748.43885788924501930469892864,
