date,totalBalance
2023-10-06,4402326.248913
2023-09-29,4500050.247828
2023-09-22,4496488.975062
2023-09-15,4485614.51788
2023-09-08,4424062.227995
2023-09-01,4424318.204044
2023-08-25,4558437.525401
2023-08-18,5469639.250695
2023-08-11,5588925.249353
2023-08-04,5631988.107854
2023-07-28,5632793.916678
2023-07-21,5626280.662209
2023-07-14,5693404.493021
2023-07-07,5699248.210509
2023-06-30,5690107.76989
2023-06-23,5683238.917885
2023-06-16,5700588.912
2023-06-09,5800037.511971
2023-06-02,5785018.878175
2023-05-26,5729397.782061
2023-05-19,5735260.055115
2023-05-12,5739066.772308
2023-05-05,6515264.485516
2023-04-28,6512525.889381
2023-04-21,6634002.808409
2023-04-14,6737812.954655
2023-04-07,6897064.055003
2023-03-31,6897005.530636
2023-03-24,7399956.457014
2023-03-17,9385573.387011
2023-03-10,10602908.154571
2023-03-03,10562038.723688
2023-02-24,10541936.120749
2023-02-17,10524449.236736
2023-02-10,10563071.058536
2023-02-03,10556684.969852
2023-01-27,10975140.874312
2023-01-20,11039220.689052
2023-01-13,11224811.864833
2023-01-06,11358401.993092
2022-12-30,16400481.197293
2022-12-23,16515005.476575
2022-12-16,16777153.52494
2022-12-09,16380735.8032
2022-12-02,16222533.129513
2022-11-25,13502138.77401
2022-11-18,11735889.850157
2022-11-11,11869641.64911
2022-11-04,17436241.766092
2022-10-28,17538059.363674
2022-10-21,19459669.85442
2022-10-14,20729851.383104
2022-10-07,20859637.903206
2022-09-30,22150393.46711
2022-09-23,20508002.267211
2022-09-16,19822610.797924
2022-09-09,20506860.045461
2022-09-02,21167388.764406
2022-08-26,21168888.466871
2022-08-19,20309484.552458
2022-08-12,20260115.612286
2022-08-05,19926796.319305
2022-07-29,20592178.922276
2022-07-22,19857924.510395
2022-07-15,19718294.042638
2022-07-08,20606013.43559
2022-07-01,21295176.538506
2022-06-24,55620812.911744
2022-06-17,57345926.207756
2022-06-10,57251086.632313
2022-06-03,62703302.562536
2022-05-27,68612044.189483
2022-05-20,113424782.826174
2022-05-13,113511727.19952
2022-05-06,115448589.504045
2022-04-29,113750972.11103
2022-04-22,112729447.156083
2022-04-15,110121221.21168
2022-04-08,102933214.74802
2022-04-01,94468809.828464
2022-03-25,88009084.425713
2022-03-18,91023242.776024
2022-03-11,80125951.730561
2022-03-04,79091244.253796
2022-02-25,62921355.287987
2022-02-18,70816295.666901
2022-02-11,64569931.995376
2022-02-04,42879429.14022
2022-01-28,28795076.193475
2022-01-21,9033.69
2022-01-14,9033.69
2022-01-07,9033.69
